filename,content
0359.txt,two
0371.txt,bed
0365.txt,It's fun to roast marshmallows on a gas burner.
0173.txt,at
0167.txt,spit
0198.txt,dart
0007.txt,sigh
0013.txt,He will allow a rare lie.
0239.txt,The dolphins swam around our boat.
0205.txt,spark
0211.txt,echo
0210.txt,hark
0204.txt,The job provides many benefits.
0238.txt,Students watched as he got out.
0012.txt,know
0006.txt,sway
0199.txt,mitten
0166.txt,foxtrot
0172.txt,much
0364.txt,hand
0370.txt,Each one volunteered to jump first.
0358.txt,shoot
0366.txt,fork
0372.txt,witch
0158.txt,bit
0164.txt,leak
0170.txt,I expect we'll bounce back this week.
0038.txt,"If you destroy confidence in banks, you do something to the economy, he said."
0010.txt,light
0004.txt,sleep
0212.txt,Both injuries were to the same leg.
0206.txt,heart
0207.txt,The books are very expensive.
0213.txt,I have had my bell rung.
0005.txt,explore
0011.txt,charlie
0039.txt,fate
0171.txt,brawn
0165.txt,It eventually became a rather proud claim.
0159.txt,bitten
0373.txt,witch
0367.txt,Being able to dance can help too.
0363.txt,red
0377.txt,zulu
0388.txt,ticker
0161.txt,golf
0175.txt,kitten
0149.txt,six
0015.txt,input/images/story_starters_16.jpg
0001.txt,Today's date. February 13th
0029.txt,pat
0217.txt,thorn
0203.txt,five
0202.txt,sign
0216.txt,"When all else fails, use force."
0028.txt,You're used to being on the field.
0014.txt,suit
0148.txt,fill
0174.txt,knitting
0160.txt,darn
0389.txt,The hotel man
0376.txt,slicker
0362.txt,sell
0374.txt,a
0360.txt,shell
0348.txt,"This is a good place, though small."
0176.txt,Alimony harms a divorced man's wealth.
0162.txt,fat
0189.txt,"Before Thursday's exam, review every formula."
0002.txt,Where were you while we were away?
0016.txt,whoop
0200.txt,blow
0214.txt,him
0228.txt,seven
0229.txt,seed
0215.txt,"If you are losing water, replace it immediately."
0201.txt,It was a good win for us.
0017.txt,prior
0003.txt,boot
0188.txt,rich
0163.txt,The little schoolhouse stood empty.
0177.txt,no
0349.txt,Please open the window quickly.
0361.txt,Most young rise early every morning.
0375.txt,no
0312.txt,xxx
0306.txt,best
0138.txt,You'd be better off taking a cold shower.
0110.txt,tile
0104.txt,near
0058.txt,hear
0064.txt,floor
0070.txt,hate
0266.txt,reek
0272.txt,litter
0299.txt,sin
0298.txt,sand
0273.txt,romeo
0267.txt,sell
0071.txt,forward
0065.txt,thigh
0059.txt,pot
0105.txt,write
0111.txt,wish
0139.txt,mut
0307.txt,We have an excellent team.
0313.txt,Nobody really expects to evacuate.
0339.txt,tin
0305.txt,He really crucified him; he nailed it for a yard loss.
0311.txt,yes
0107.txt,I just try to do my best.
0113.txt,were
0073.txt,ate
0067.txt,steer
0098.txt,here
0259.txt,yes
0271.txt,hitting
0265.txt,Carl lives in a lively home.
0264.txt,loyal
0270.txt,fitting
0258.txt,spain
0099.txt,select
0066.txt,Bright sunshine shimmers on the ocean.
0072.txt,dot
0112.txt,jungle
0106.txt,though
0310.txt,sit
0304.txt,down
0338.txt,sheet
0300.txt,xxx
0314.txt,Nobody really expects to evacuate.
0328.txt,said
0102.txt,"Everything went real smooth, the sheriff said."
0116.txt,side
0076.txt,She is thinner than I am.
0062.txt,cheer
0089.txt,delta
0274.txt,The prospect of cutting back spending is an unpleasant one for any governor.
0260.txt,This is not a program of socialized medicine.
0248.txt,side
0249.txt,fat
0261.txt,sergeant
0275.txt,Did dad do academic bidding?
0088.txt,I scrubbed the floors thoroughly.
0063.txt,of
0077.txt,pad
0117.txt,"tear [as in ""tear in my eye""]"
0103.txt,witch
0329.txt,nest
0315.txt,tread
0301.txt,whisky
0317.txt,bitter
0303.txt,He took me out one day.
0115.txt,three
0101.txt,The humidity is overwhelming there.
0129.txt,back
0061.txt,bat
0075.txt,fruit
0049.txt,The islands are sparsely populated.
0263.txt,take
0277.txt,spit
0288.txt,sitter
0289.txt,right
0276.txt,Some hotels are available nearby.
0262.txt,leak
0048.txt,pay
0074.txt,write
0060.txt,input/images/story_starters_17.jpg
0128.txt,Two other cases also were under advisement.
0100.txt,Jane may earn more money by working hard.
0114.txt,we're
0302.txt,sing
0316.txt,yankee
0333.txt,liquor
0327.txt,dread
0119.txt,slip
0131.txt,All the big baseball players get traded.
0125.txt,knew
0079.txt,slay
0045.txt,urgent
0051.txt,Both figures would go higher in later years.
0086.txt,ate
0092.txt,menu
0247.txt,vat
0253.txt,league
0284.txt,wit
0290.txt,him
0291.txt,The wait for work can be very do it again
0285.txt,ham
0252.txt,city
0246.txt,A roll of wire lay near the wall.
0093.txt,xxx
0087.txt,Are your grades higher or lower than Nancy's?
0050.txt,error
0044.txt,four
0078.txt,They carried me off on the stretcher.
0124.txt,I was conscious all the time.
0130.txt,I looked up and noticed two old men.
0118.txt,"tear [as in ""tear in my eye""]"
0326.txt,chip
0332.txt,dice
0318.txt,tango
0324.txt,wicker
0330.txt,Then we'd really have someplace to go.
0126.txt,peer
0132.txt,shoot
0052.txt,area
0046.txt,sigh
0091.txt,Nothing is as offensive as innocence.
0085.txt,The train approached the depot slowly.
0278.txt,xray
0250.txt,hem
0244.txt,part
0293.txt,sin
0287.txt,White-capped waves covered the entire bay.
0286.txt,The owners regularly look for plumbing leaks.
0292.txt,The wait for work can be very long.
0245.txt,zero
0251.txt,brought
0279.txt,A good attitude is unbeatable.
0084.txt,gnaw
0090.txt,sigh
0047.txt,rock
0053.txt,area
0133.txt,bear
0127.txt,fear
0331.txt,walk
0325.txt,Ned
0319.txt,sip
0321.txt,Beg that guard for one gallon of gas.
0335.txt,sicker
0309.txt,zip
0123.txt,play
0137.txt,droop
0057.txt,We gathered shells on the beach.
0043.txt,Mother sews yellow gingham aprons.
0094.txt,xxx
0080.txt,xxx
0255.txt,dark
0241.txt,input/images/story_starters_22.jpg
0269.txt,thought
0296.txt,up
0282.txt,Those musicians harmonize marvelously.
0283.txt,ship
0297.txt,uniform
0268.txt,pit
0240.txt,hotel
0254.txt,lick
0081.txt,briar
0095.txt,tie
0042.txt,Mother sews yellow gingham aprons.
0056.txt,Why yell or worry over silly items?
0136.txt,loop
0122.txt,Just one side got wet.
0308.txt,rock
0334.txt,meat
0320.txt,We bought a brown chair.
0336.txt,rest
0322.txt,knot
0134.txt,snoop
0120.txt,bad
0108.txt,yes
0040.txt,sprinkle
0054.txt,mere
0068.txt,I tried to tell people in the community.
0083.txt,toot
0097.txt,lip
0242.txt,Nothing has been done yet to take advantage of the enabling legislation.
0256.txt,"She wore warm, fleecy, woolen overalls."
0281.txt,and
0295.txt,wicked
0294.txt,sierra
0280.txt,in
0257.txt,seeds
0243.txt,"Night after night, they received annoying phone calls."
0096.txt,lip
0082.txt,Their house is grey and white.
0069.txt,cycle
0055.txt,Why yell or worry over silly items?
0041.txt,pile
0109.txt,slip
0121.txt,troop
0135.txt,Will Robin wear a yellow lily?
0323.txt,dress
0337.txt,hand
0378.txt,knot
0350.txt,lock
0344.txt,neat
0393.txt,the pair of shoes was new
0387.txt,He is definitely a notch above us.
0152.txt,The box contained three sweaters.
0146.txt,He further proposed grants of an unspecified sum for experimental hospitals.
0191.txt,cart
0185.txt,hum
0026.txt,My sister made the flowered curtains.
0032.txt,deer
0218.txt,[relax your mouth in its normal position]
0224.txt,chop
0230.txt,written
0231.txt,bloat
0225.txt,lair
0219.txt,Day after day some new episode is reported.
0033.txt,shear
0027.txt,One validated acts of school districts.
0184.txt,him
0190.txt,juliet
0147.txt,Alfalfa is healthy for you.
0153.txt,hill
0386.txt,victor
0392.txt,glitter
0345.txt,quicker
0351.txt,left
0379.txt,knot
0347.txt,Travel is about the only leisure we have.
0353.txt,You want him to do well.
0384.txt,sink
0390.txt,The hotel owner shrugged.
0179.txt,This is a period of transition for me.
0145.txt,He further proposed grants of an unspecified sum for experimental hospitals.
0151.txt,He wrapped the package hastily.
0186.txt,It also provides for funds to clear slums and help colleges build dormitories.
0192.txt,Swing your arm as high as you can.
0019.txt,This was easy for us.
0031.txt,suit
0025.txt,galore
0233.txt,and
0227.txt,park
0226.txt,eight
0232.txt,barn
0024.txt,air
0030.txt,bad
0018.txt,prior
0193.txt,nine
0187.txt,lima
0150.txt,Aluminum silverware can often be flimsy.
0144.txt,top
0178.txt,witch
0391.txt,one
0385.txt,Only lawyers love millionaires.
0352.txt,bread
0346.txt,People who value themselves are life's winners.
0342.txt,flicker
0356.txt,input/images/story_starters_26.jpg
0381.txt,Although always again again
0140.txt,pretty
0154.txt,shy
0168.txt,mush
0183.txt,hat
0197.txt,There is a treehouse up above.
0034.txt,single
0020.txt,no
0008.txt,I feel I can play this weekend.
0236.txt,The misguided souls have lost their way.
0222.txt,cake
0223.txt,november
0237.txt,sigh
0009.txt,root
0021.txt,knot
0035.txt,much
0196.txt,witty
0182.txt,We rode horseback to the farm.
0169.txt,leak
0155.txt,The museum hires musicians every evening.
0141.txt,pitting
0380.txt,dead
0357.txt,Help Greg to pick a peck of potatoes.
0343.txt,[relax your mouth in its normal position]
0355.txt,four
0341.txt,nod
0369.txt,I'm willing to experiment for the first time.
0382.txt,"Although always alone, we survive."
0157.txt,start
0143.txt,pitting
0194.txt,mike
0180.txt,oscar
0023.txt,rocks
0037.txt,group
0221.txt,papa
0235.txt,quebec
0209.txt,at
0208.txt,sitting
0234.txt,harp
0220.txt,papa
0036.txt,[relax your mouth in its normal position]
0022.txt,coupe
0181.txt,tell
0195.txt,pit
0142.txt,pitting
0156.txt,kilo
0383.txt,You can ride stagecoach.
0368.txt,Get a calico cat to keep.
0340.txt,nice
0354.txt,rock
