filename,content
0173.txt,We rode horseback to the farm.
0167.txt,Alimony harms a divorced man's wealth.
0198.txt,hem
0007.txt,"tear [as in ""tear up that paper""]"
0013.txt,The quick brown fox jumps over the lazy dog.
0239.txt,Alfalfa is healthy for you.
0205.txt,"If you are losing water, replace it immediately."
0211.txt,seeds
0210.txt,reek
0204.txt,thorn
0238.txt,spark
0012.txt,sip
0006.txt,torn
0199.txt,juliet
0166.txt,The little schoolhouse stood empty.
0172.txt,bit
0158.txt,barn
0164.txt,echo
0170.txt,at
0038.txt,galore
0010.txt,sheet
0004.txt,knee
0212.txt,foxtrot
0206.txt,"When all else fails, use force."
0207.txt,fill
0213.txt,and
0005.txt,race
0011.txt,range
0039.txt,bad
0171.txt,cart
0165.txt,It also provides for funds to clear slums and help colleges build dormitories.
0159.txt,This is not a program of socialized medicine.
0161.txt,sigh
0175.txt,fat
0149.txt,jungle
0015.txt,swore
0001.txt,one
0029.txt,I was conscious all the time.
0217.txt,kitten
0203.txt,cake
0202.txt,This is a period of transition for me.
0216.txt,written
0028.txt,mere
0014.txt,the
0148.txt,loop
0174.txt,The dolphins swam around our boat.
0160.txt,This is not a program of socialized medicine.
0176.txt,zero
0162.txt,leak
0189.txt,quebec
0002.txt,air
0016.txt,train
0200.txt,rich
0214.txt,mike
0228.txt,him
0229.txt,mitten
0215.txt,hotel
0201.txt,pit
0017.txt,beat
0003.txt,gadget
0188.txt,Aluminum silverware can often be flimsy.
0163.txt,hark
0177.txt,Day after day some new episode is reported.
0138.txt,pad
0110.txt,of
0104.txt,prior
0058.txt,witch
0064.txt,tile
0070.txt,area
0266.txt,knitting
0272.txt,hitting
0273.txt,witty
0267.txt,vat
0071.txt,steer
0065.txt,suit
0059.txt,three
0105.txt,This was easy for us.
0111.txt,"If you destroy confidence in banks, you do something to the economy, he said."
0139.txt,know
0107.txt,explore
0113.txt,Nothing is as offensive as innocence.
0073.txt,bear
0067.txt,charlie
0098.txt,cycle
0259.txt,harp
0271.txt,He wrapped the package hastily.
0265.txt,him
0264.txt,witch
0270.txt,sell
0258.txt,park
0099.txt,sigh
0066.txt,Two other cases also were under advisement.
0072.txt,deer
0112.txt,fruit
0106.txt,single
0102.txt,bat
0116.txt,near
0076.txt,The humidity is overwhelming there.
0062.txt,sigh
0089.txt,floor
0274.txt,witty
0260.txt,sitting
0248.txt,spit
0249.txt,The books are very expensive.
0261.txt,dark
0275.txt,Swing your arm as high as you can.
0088.txt,Mother sews yellow gingham aprons.
0063.txt,rock
0077.txt,fear
0117.txt,Bright sunshine shimmers on the ocean.
0103.txt,Their house is grey and white.
0115.txt,Will Robin wear a yellow lily?
0101.txt,knot
