filename,content
0007.txt,trouble
0013.txt,"A long, flowing beard clings to his chin,"
0012.txt,"A long, flowing beard clings to his chin,"
0006.txt,trait
0038.txt,rain
0010.txt,raid
0004.txt,[relax your mouth in its normal position]
0005.txt,"When he speaks, his voice is just a bit cracked and quivers a trifle."
0011.txt,"Except in the winter when the ooze or snow or ice prevents,"
0039.txt,no
0015.txt,tip
0001.txt,[say Ah-P-Eee repeatedly]
0029.txt,double
0028.txt,jacket
0014.txt,fair
0002.txt,[say 'Eee-P-Ah' repeatedly]
0016.txt,bit
0017.txt,bubble
0003.txt,[say 'Pah-Tah-Kah' repeatedly]
0058.txt,I can read
0064.txt,trade
0070.txt,pat
0071.txt,rage
0065.txt,two
0059.txt,air
0073.txt,go
0067.txt,born
0098.txt,corn
0099.txt,up
0066.txt,usually minus several buttons;
0072.txt,She had your dark suit in greasy wash water all year.
0076.txt,beta
0062.txt,slip
0089.txt,spark
0088.txt,spark
0063.txt,[relax your mouth in its normal position]
0077.txt,he slowly takes a short walk in the open air each day.
0061.txt,farm
0075.txt,rave
0049.txt,[say 'OA' as in cOAt in a very low pitch]
0048.txt,glow
0074.txt,car
0060.txt,rate
0100.txt,swarm
0079.txt,warm
0045.txt,feet
0051.txt,left
0086.txt,down
0092.txt,"We have often urged him to walk more and smoke less,"
0093.txt,for
0087.txt,meat
0050.txt,swarm
0044.txt,Don't ask me to carry an oily rag like that.
0078.txt,storm
0052.txt,form
0046.txt,stubble
0091.txt,jagged
0085.txt,ship
0084.txt,Twice each day he plays skillfully and with zest upon our small organ.
0090.txt,stick
0047.txt,park
0053.txt,You wished to know all about my grandfather.
0057.txt,sip
0043.txt,input/images/story_starters_15.jpg
0094.txt,rake
0080.txt,trace
0081.txt,[say 'Eee' in a very high pitch]
0095.txt,yes
0042.txt,input/images/kitchen.jpg
0056.txt,giving those who observe him a pronounced feeling of the utmost respect.
0040.txt,"but he always answers, ""Banana oil!"""
0054.txt,goat
0068.txt,right
0083.txt,knew
0097.txt,weed
0096.txt,weed
0082.txt,storm
0069.txt,know
0055.txt,feed
0041.txt,"but he always answers, ""Banana oil!"""
0026.txt,yet he still thinks as swiftly as ever.
0032.txt,share
0033.txt,warm
0027.txt,I can read
0019.txt,"he dresses himself in an ancient black frock coat,"
0031.txt,dug
0025.txt,knew
0024.txt,dagger
0030.txt,bug
0018.txt,"Well, he is nearly ninety-three years old;"
0034.txt,chair
0020.txt,horn
0008.txt,fee
0009.txt,Grandfather likes to be modern in his language.
0021.txt,bat
0035.txt,sticks
0023.txt,I will lead you
0037.txt,hair
0036.txt,alpha
0022.txt,beat
