filename,content
0173.txt,knot
0167.txt,lip
0198.txt,light
0007.txt,Grandfather likes to be modern in his language.
0013.txt,form
0239.txt,jungle
0205.txt,rock
0211.txt,"tear [as in ""tear in my eye""]"
0210.txt,knew
0204.txt,slip
0238.txt,loop
0012.txt,feet
0006.txt,jagged
0199.txt,hear
0166.txt,witch
0172.txt,My sister made the flowered curtains.
0158.txt,I just try to do my best.
0164.txt,slay
0170.txt,sway
0038.txt,The quick brown fox jumps over the lazy dog.
0010.txt,left
0004.txt,[relax your mouth in its normal position]
0212.txt,urgent
0206.txt,I scrubbed the floors thoroughly.
0207.txt,pay
0213.txt,urgent
0005.txt,[relax your mouth in its normal position]
0011.txt,right
0039.txt,I can
0171.txt,slip
0165.txt,peer
0159.txt,pad
0161.txt,group
0175.txt,explore
0149.txt,we're
0015.txt,up
0001.txt,[say 'Ah-P-Eee' repeatedly]
0029.txt,"When he speaks, his voice is just a bit cracked and quivers a trifle."
0217.txt,I feel I can play this weekend.
0203.txt,prior
0202.txt,"Everything went real smooth, the sheriff said."
0216.txt,Mother sews yellow gingham aprons.
0028.txt,rage
0014.txt,She had your dark suit in greasy wash water all year.
0148.txt,pile
0174.txt,We gathered shells on the beach.
0160.txt,Are your grades higher or lower than Nancy's?
0176.txt,galore
0162.txt,sigh
0189.txt,Bright sunshine shimmers on the ocean.
0002.txt,[say 'Eee-P-Ah' repeatedly]
0016.txt,jacket
0200.txt,sigh
0214.txt,of
0228.txt,side
0229.txt,play
0215.txt,ate
0201.txt,here
0017.txt,storm
0003.txt,[say 'Pah-Tah-Kah' repeatedly]
0188.txt,no
0163.txt,snoop
0177.txt,root
0138.txt,back
0110.txt,weed
0104.txt,two
0058.txt,share
0064.txt,tear up that paper
0070.txt,feet
0266.txt,fate
0272.txt,yes
0298.txt,Both injuries were to the same leg.
0273.txt,forward
0267.txt,know
0071.txt,trace
0065.txt,"tear [as in ""tear up that paper""]"
0059.txt,chair
0105.txt,corn
0111.txt,pat
0139.txt,bad
0107.txt,raid
0113.txt,knee
0073.txt,dark
0067.txt,ship
0098.txt,"Well, he is nearly ninety-three years old;"
0259.txt,xxx
0271.txt,tile
0265.txt,shoot
0264.txt,The humidity is overwhelming there.
0270.txt,tile
0258.txt,xxx
0099.txt,alpha
0066.txt,beat
0072.txt,floor
0112.txt,beat
0106.txt,stick
0102.txt,horn
0116.txt,bubble
0076.txt,air
0062.txt,the
0089.txt,[say 'Ah' for 5 seconds]
0274.txt,The islands are sparsely populated.
0260.txt,sleep
0248.txt,Nothing is as offensive as innocence.
0249.txt,single
0261.txt,toot
0275.txt,juliet
0088.txt,[say 'Ah' for 5 seconds]
0063.txt,for
0077.txt,You wished to know all about my grandfather.
0117.txt,knew
0103.txt,torn
0115.txt,rain
0101.txt,horn
0129.txt,[say 'OA' as in cOAt in a very low pitch]
0061.txt,grow
0075.txt,swore
0049.txt,feed
0263.txt,write
0277.txt,brawn
0288.txt,This is not a program of socialized medicine.
0289.txt,pitting
0276.txt,papa
0262.txt,pat
0048.txt,"A long, flowing beard clings to his chin,"
0074.txt,rave
0060.txt,he slowly takes a short walk in the open air each day.
0128.txt,dagger
0100.txt,Twice each day he plays skillfully and with zest upon our small organ.
0114.txt,trait
0119.txt,chair
0131.txt,wish
0125.txt,know
0079.txt,feed
0045.txt,"We have often urged him to walk more and smoke less,"
0051.txt,farm
0086.txt,"read [as in ""I can read""]"
0092.txt,gadget
0247.txt,innocence
0253.txt,This was easy for us.
0284.txt,kitten
0290.txt,pitting
0291.txt,Nothing has been done yet to take advantage of the enabling legislation.
0285.txt,I expect we'll bounce back this week.
0252.txt,dot
0246.txt,Nothing is as offensive as innocence.
0093.txt,"but he always answers, ""Banana oil!"""
0087.txt,swarm
0050.txt,feed
0044.txt,yet he still thinks as swiftly as ever.
0078.txt,store
0124.txt,[relax your mouth in its normal position]
0130.txt,whoop
0118.txt,[say 'Eee' in a very high pitch]
0126.txt,storm
0132.txt,boot
0052.txt,usually minus several buttons;
0046.txt,"We have often urged him to walk more and smoke less,"
0091.txt,fair
0085.txt,car
0278.txt,brawn
0250.txt,four
0244.txt,fear
0293.txt,fat
0287.txt,spit
0286.txt,"She wore warm, fleecy, woolen overalls."
0292.txt,input/images/story_starters_22.jpg
0245.txt,droop
0251.txt,select
0279.txt,loyal
0084.txt,tip
0090.txt,warm
0047.txt,train
0053.txt,dug
0133.txt,They carried me off on the stretcher.
0127.txt,"lead [as in ""I will lead you""]"
0123.txt,no
0137.txt,back
0057.txt,range
0043.txt,meat
0094.txt,double
0080.txt,goat
0255.txt,You're used to being on the field.
0241.txt,shear
0269.txt,thigh
0296.txt,vat
0282.txt,It also provides for funds to clear slums and help colleges build dormitories.
0283.txt,It was a good win for us.
0297.txt,bit
0268.txt,charlie
0240.txt,deer
0254.txt,mere
0081.txt,born
0095.txt,beta
0042.txt,rate
0056.txt,sip
0136.txt,tie
0122.txt,bat
0134.txt,sprinkle
0120.txt,bug
0108.txt,[say 'Ah' for 5 seconds]
0040.txt,"read [as in ""I can read""]"
0054.txt,bit
0068.txt,rake
0083.txt,"he dresses himself in an ancient black frock coat,"
0097.txt,air
0242.txt,I looked up and noticed two old men.
0256.txt,coupe
0281.txt,Aluminum silverware can often be flimsy.
0295.txt,There is a treehouse up above.
0294.txt,park
0280.txt,hat
0257.txt,pot
0243.txt,fruit
0096.txt,glow
0082.txt,one
0069.txt,trouble
0055.txt,race
0041.txt,trade
0109.txt,input/images/kitchen.jpg
0121.txt,warm
0135.txt,though
0152.txt,steer
0146.txt,hate
0191.txt,Will Robin wear a yellow lily?
0185.txt,briar
0026.txt,stubble
0032.txt,Don't ask me to carry an oily rag like that.
0218.txt,air
0224.txt,rocks
0230.txt,cycle
0231.txt,The train approached the depot slowly.
0225.txt,input/images/story_starters_17.jpg
0219.txt,Both figures would go higher in later years.
0033.txt,"Except in the winter when the ooze or snow or ice prevents,"
0027.txt,input/images/story_starters_15.jpg
0184.txt,briar
0190.txt,Where were you while we were away?
0147.txt,Two other cases also were under advisement.
0153.txt,One validated acts of school districts.
0179.txt,cheer
0145.txt,three
0151.txt,we're
0186.txt,Just one side got wet.
0192.txt,white
0019.txt,sheet
0031.txt,hair
