filename,content
0173.txt,I feel I can play this weekend.
0167.txt,pad
0198.txt,Nothing is as offensive as innocence.
0007.txt,feed
0013.txt,input/images/kitchen.jpg
0239.txt,deer
0205.txt,jungle
0211.txt,forward
0210.txt,You're used to being on the field.
0204.txt,urgent
0238.txt,The train approached the depot slowly.
0012.txt,sip
0006.txt,grow
0199.txt,slay
0166.txt,single
0172.txt,I can play this weekend.
0158.txt,three
0164.txt,dot
0170.txt,pay
0038.txt,feet
0010.txt,farm
0004.txt,[say 'Eee-P-Ah' repeatedly]
0212.txt,four
0206.txt,bear
0207.txt,suit
0213.txt,peer
0005.txt,[say 'OA' as in cOAt in a very low pitch]
0011.txt,[relax your mouth in its normal position]
0039.txt,sticks
0171.txt,cheer
0165.txt,suit
0159.txt,play
0161.txt,mut
0175.txt,write
0149.txt,shoot
0015.txt,rain
0001.txt,[say 'Pah-Tah-Kah' repeatedly]
0029.txt,one
0217.txt,I was conscious all the time.
0203.txt,She is thinner than I am.
0202.txt,rocks
0216.txt,slip
0028.txt,gadget
0014.txt,dagger
0148.txt,shout
0174.txt,They carried me off on the stretcher.
0160.txt,sprinkle
0176.txt,Will Robin wear a yellow lily?
0162.txt,were
0189.txt,light
0002.txt,[relax your mouth in its normal position]
0016.txt,fair
0200.txt,snoop
0214.txt,delta
0228.txt,know
0229.txt,[relax your mouth in its normal position]
0215.txt,I looked up and noticed two old men.
0201.txt,sigh
0017.txt,feet
0003.txt,[say 'Ah-P-Eee' repeatedly]
0188.txt,ate
0163.txt,we're
0177.txt,witch
0138.txt,ate
0110.txt,for
0104.txt,air
0058.txt,sheet
0064.txt,knee
0070.txt,weed
0071.txt,"We have often urged him to walk more and smoke less,"
0065.txt,no
0059.txt,beta
0105.txt,jacket
0111.txt,goat
0139.txt,write
0107.txt,rage
0113.txt,corn
0073.txt,born
0067.txt,usually minus several buttons;
0098.txt,"A long, flowing beard clings to his chin,"
0099.txt,dark
0066.txt,yet he still thinks as swiftly as ever.
0072.txt,left
0112.txt,jagged
0106.txt,Don't ask me to carry an oily rag like that.
0102.txt,air
0116.txt,feed
0076.txt,right
0062.txt,"When he speaks, his voice is just a bit cracked and quivers a trifle."
0089.txt,rave
0088.txt,warm
0063.txt,car
0077.txt,range
0117.txt,The quick brown fox jumps over the lazy dog.
0103.txt,I can read
0115.txt,"Except in the winter when the ooze or snow or ice prevents,"
0101.txt,race
0129.txt,side
0061.txt,beat
0075.txt,knew
0049.txt,swarm
0048.txt,chair
0074.txt,beat
0060.txt,slip
0128.txt,menu
0100.txt,rake
0114.txt,spark
0119.txt,two
0131.txt,sigh
0125.txt,of
0079.txt,stick
0045.txt,yes
0051.txt,bat
0086.txt,glow
0092.txt,Twice each day he plays skillfully and with zest upon our small organ.
0093.txt,dug
0087.txt,form
0050.txt,[say 'Eee' in a very high pitch]
0044.txt,"he dresses himself in an ancient black frock coat,"
0078.txt,sip
0124.txt,error
0130.txt,I tried to tell people in the community.
0118.txt,"but he always answers, ""Banana oil!"""
0126.txt,I just try to do my best.
0132.txt,loop
0052.txt,input/images/story_starters_15.jpg
0046.txt,"tear [as in ""tear up that paper""]"
0091.txt,sip
0085.txt,fee
0084.txt,down
0090.txt,warm
0047.txt,store
0053.txt,stubble
0133.txt,here
0127.txt,Both figures would go higher in later years.
0123.txt,cycle
0137.txt,"Everything went real smooth, the sheriff said."
0057.txt,"lead [as in ""I will lead you""]"
0043.txt,know
0094.txt,storm
0080.txt,he slowly takes a short walk in the open air each day.
0240.txt,explore
0081.txt,storm
0095.txt,meat
0042.txt,tip
0056.txt,horn
0136.txt,hear
0122.txt,trace
0134.txt,area
0120.txt,trade
0108.txt,hair
0040.txt,rate
0054.txt,trait
0068.txt,floor
0083.txt,double
0097.txt,up
0096.txt,swore
0082.txt,[say 'Ah' for 5 seconds]
0069.txt,train
0055.txt,She had your dark suit in greasy wash water all year.
0041.txt,knew
0109.txt,bug
0121.txt,You wished to know all about my grandfather.
0135.txt,Why yell or worry over silly items?
0152.txt,You'd be better off taking a cold shower.
0146.txt,slip
0191.txt,tie
0185.txt,He will allow a rare lie.
0026.txt,raid
0032.txt,swarm
0218.txt,prior
0224.txt,fate
0230.txt,rock
0231.txt,rock
0225.txt,bat
0219.txt,tile
0033.txt,share
0027.txt,the
0184.txt,We gathered shells on the beach.
0190.txt,knew
0147.txt,sway
0153.txt,xxx
0179.txt,near
0145.txt,droop
0151.txt,fruit
0186.txt,charlie
0192.txt,through
0019.txt,park
0031.txt,go
0025.txt,chair
0233.txt,sigh
0227.txt,much
0226.txt,Mother sews yellow gingham aprons.
0232.txt,Jane may earn more money by working hard.
0024.txt,trouble
0030.txt,torn
0018.txt,ship
0193.txt,though
0187.txt,wish
0150.txt,Are your grades higher or lower than Nancy's?
0144.txt,drop
0178.txt,shear
0140.txt,hate
0154.txt,The islands are sparsely populated.
0168.txt,"If you destroy confidence in banks, you do something to the economy, he said."
0183.txt,Bright sunshine shimmers on the ocean.
0197.txt,Nothing is as offensive as ignorance
0034.txt,giving those who observe him a pronounced feeling of the utmost respect.
0020.txt,Grandfather likes to be modern in his language.
0008.txt,alpha
0236.txt,I scrubbed the floors thoroughly.
0222.txt,One validated acts of school districts.
0223.txt,mere
0237.txt,thigh
0009.txt,pat
0021.txt,bubble
0035.txt,I can
0196.txt,Their house is grey and white.
0182.txt,galore
0169.txt,All the big baseball players get traded.
0155.txt,knot
0141.txt,This was easy for us.
0157.txt,boot
0143.txt,no
0194.txt,"tear [as in ""tear in my eye""]"
0180.txt,steer
0023.txt,"Well, he is nearly ninety-three years old;"
0037.txt,[say 'Ah' for 5 seconds]
0221.txt,back
0235.txt,root
0209.txt,pile
0208.txt,Just one side got wet.
0234.txt,troop
0220.txt,fear
0036.txt,I can read
0022.txt,bit
0181.txt,bad
0195.txt,floor
0142.txt,whoop
0156.txt,pot
