filename,content
0173.txt,city
0167.txt,spark
0198.txt,shy
0239.txt,witch
0205.txt,heart
0211.txt,bitten
0210.txt,quebec
0204.txt,"If you are losing water, replace it immediately."
0238.txt,hand
0199.txt,six
0166.txt,rich
0172.txt,nine
0158.txt,mitten
0164.txt,sitting
0170.txt,spain
0212.txt,The job provides many benefits.
0206.txt,league
0207.txt,It eventually became a rather proud claim.
0213.txt,The job provides many benefits.
0171.txt,chop
0165.txt,at
0159.txt,oscar
0161.txt,The museum hires musicians every evening.
0175.txt,xxx
0149.txt,foxtrot
0217.txt,part
0203.txt,fat
0202.txt,He further proposed grants of an unspecified sum for experimental hospitals.
0216.txt,leak
0148.txt,start
0174.txt,cake
0160.txt,I have had my bell rung.
0176.txt,hum
0162.txt,sergeant
0189.txt,blow
0200.txt,There is a treehouse up above.
0214.txt,hat
0228.txt,Carl lives in a lively home.
0229.txt,darn
0215.txt,witch
0201.txt,pit
0188.txt,The little schoolhouse stood empty.
0163.txt,"She wore warm, fleecy, woolen overalls."
0177.txt,hotel
0138.txt,fill
0110.txt,lick
0104.txt,Students watched as he got out.
0105.txt,at
0111.txt,Both injuries were to the same leg.
0139.txt,He wrapped the package hastily.
0107.txt,sigh
0113.txt,lair
0098.txt,Aluminum silverware can often be flimsy.
0099.txt,fat
0112.txt,tell
0106.txt,pretty
0102.txt,sell
0116.txt,witty
0076.txt,group
0089.txt,briar
0088.txt,Two other cases also were under advisement.
0077.txt,gnaw
0117.txt,The dolphins swam around our boat.
0103.txt,brought
0115.txt,kilo
0101.txt,seeds
0129.txt,reek
0075.txt,[relax your mouth in its normal position]
0074.txt,[relax your mouth in its normal position]
0128.txt,"Before Thursday's exam, review every formula."
0100.txt,mike
0114.txt,vat
0119.txt,The misguided souls have lost their way.
0131.txt,The box contained three sweaters.
0125.txt,sign
0079.txt,air
0086.txt,My sister made the flowered curtains.
0092.txt,coupe
0093.txt,input/images/story_starters_17.jpg
0087.txt,lip
0078.txt,The humidity is overwhelming there.
0124.txt,loyal
0130.txt,seed
0118.txt,lima
0126.txt,written
0132.txt,brawn
0091.txt,sleep
0085.txt,white
0084.txt,bad
0090.txt,Where were you while we were away?
0133.txt,Alimony harms a divorced man's wealth.
0127.txt,take
0123.txt,hem
0137.txt,This is not a program of socialized medicine.
0094.txt,pat
0080.txt,air
0241.txt,said
0240.txt,sitter
0081.txt,select
0095.txt,and
0136.txt,knitting
0122.txt,dark
0134.txt,It also provides for funds to clear slums and help colleges build dormitories.
0120.txt,papa
0108.txt,pitting
0083.txt,toot
0097.txt,echo
0242.txt,tread
0096.txt,A roll of wire lay near the wall.
0082.txt,yes
0109.txt,lick
0121.txt,This is a period of transition for me.
0135.txt,bit
0152.txt,hark
0146.txt,barn
0191.txt,"Night after night, they received annoying phone calls."
0185.txt,seven
0218.txt,mush
0224.txt,xxx
0230.txt,xxx
0231.txt,knot
0225.txt,xxx
0219.txt,leak
0184.txt,zero
0190.txt,Alfalfa is healthy for you.
0147.txt,him
0153.txt,bloat
0179.txt,harp
0145.txt,side
0151.txt,juliet
0186.txt,input/images/story_starters_22.jpg
0192.txt,top
0233.txt,wicked
0227.txt,hitting
0226.txt,golf
0232.txt,A good attitude is unbeatable.
0193.txt,Swing your arm as high as you can.
0187.txt,I expect we'll bounce back this week.
0150.txt,kitten
0144.txt,eight
0178.txt,The books are very expensive.
0140.txt,pit
0154.txt,relax
0168.txt,spark
0183.txt,hill
0197.txt,thought
0236.txt,chip
0222.txt,"When all else fails, use force."
0223.txt,thorn
0237.txt,Being able to dance can help too.
0196.txt,him
0182.txt,dart
0169.txt,spit
0155.txt,oh
0141.txt,pit
0157.txt,leak
0143.txt,november
0194.txt,It was a good win for us.
0180.txt,cart
0221.txt,fitting
0235.txt,The owners regularly look for plumbing leaks.
0209.txt,We rode horseback to the farm.
0208.txt,Nothing has been done yet to take advantage of the enabling legislation.
0234.txt,bread
0220.txt,no
0181.txt,park
0195.txt,Day after day some new episode is reported.
0142.txt,pit
0156.txt,yes
